userid,InboundCall,IsDealSeeker,IsDirtLover,IsDreamer,IsGreen,IsResearcher,TradeInValueGenerated,InboundCallCount,TotalInboundCallLength,BureauIncome,CreditScore1,CreditScore2,FraudScore,Income,MedianVehicleFuelEcon,MedianVehiclePrice,TradeInValueAmount,LeadSource,AgeCategory,accountcreationdatetime,PhoneNumber_hashed,MedianVehicleMileage
11,0,0,1,0,0,0,1,0,507,60503,595,656,403,51703,29.1,19675,10629,Website,45-55,2018-02-05 10:48:00,E520AD2E73E53DE8C5D55A6135BE6087562E1D098A8F7CB918BA9431F2D5BB4D,43062
12,0,0,0,0,0,0,1,0,255,56893,631,602,318,74351,22.7,24635,8856,Website,45-55,2018-03-24 13:03:00,254106B67E64235ED87F758D871D6F0EAEADAE504B52F327BE2858FACEDF098D,37955
13,0,0,0,0,0,1,0,0,295,64737,630,639,207,57101,15,24289,6901,Website,35-45,2018-04-17 19:59:00,,29222
14,0,0,0,1,0,0,0,0,311,40025,643,690,307,74886,32.1,25137,10695,ThirdPartyListing,65+,2018-01-29 17:29:00,,43067
15,0,0,0,0,0,0,1,0,320,40722,677,642,255,23804,25.3,20427,12054,Website,55-65,2018-01-11 15:44:00,7F8FD0C0399F6F9C2F89984365D2C315B0E0336C331AA53D99859EFC3CEDAE36,48366
16,1,0,0,0,0,0,0,0,291,54421,710,777,449,59000,28.7,21735,10581,Website,18-35,2018-03-17 05:04:00,,37450
17,1,0,0,0,0,1,1,0,373,44840,660,688,378,44621,26.1,24511,7333,Website,45-55,2018-02-12 09:04:00,74CFCAFDAFD432E8E8041E725273F13A594EF57961A3D988AC03B9D014C2D9D0,41835
18,0,0,0,0,0,0,1,0,355,50129,666,662,334,33866,22.7,25732,9085,Website,65+,2018-02-24 23:24:00,,35134
19,0,0,0,0,0,0,0,0,313,54778,640,668,321,42746,21.8,19924,9998,ThirdPartyFinancing,35-45,2018-03-22 00:09:00,4C8EEEE9235AF2C15D1919F1D4C99A5110B5924D290955F01F50CE155AD9E522,31538
20,0,0,0,0,0,0,0,0,344,45428,711,717,472,43648,47.8,28753,10717,Website,35-45,2018-02-25 00:32:00,48635006D514D4735BBAB16E56DACF9FFBDE970FD4F69A6A879C0C40C39DDEE4,47360
21,0,0,0,0,0,0,0,1,193,64524,735,765,380,73330,26.2,23090,7774,Website,45-55,2018-01-14 17:59:00,,36294
22,0,0,1,1,0,0,0,0,318,47113,750,745,284,35933,26.4,26749,7386,ThirdPartyListing,35-45,2018-03-05 20:49:00,7052BAEB3A0CD9BA00BC822CBC42AF42CA9C87429FE3212D38CDB0218A6FE533,53394
23,0,0,1,0,0,0,0,0,386,56343,672,734,402,62270,25.3,21951,8017,ThirdPartyListing,45-55,2018-03-19 19:50:00,8391DDF38D8E79FCD3B396CEE93BAD7BDBDF58074A7C92B413B527EA65D2B3C5,33400
24,0,0,0,0,0,0,1,0,368,49074,628,710,456,56063,38.7,23554,5762,Website,18-35,2018-02-25 19:26:00,1749BC05E1AEADB794B8919C46A9BE1CF9819A3B21D218F904593F9FF37CDDF3,31956
25,0,0,0,0,1,1,1,0,273,58247,743,724,344,51697,42.2,12873,8659,Website,35-45,2018-04-11 18:01:00,95412B7532EF0D699BE126DACA6821F2DDB5FBB875FF7812E4BE497EDA77D7EF,38782
26,0,0,1,0,1,0,0,0,246,47470,649,604,354,36705,31.3,17007,10370,Website,55-65,2018-04-11 01:26:00,17761CF29802E4111B718F957DF3B565FB1A54F25FCB390CEDD341E5A4C5FB8E,30133
27,0,0,1,0,0,0,1,0,338,36536,693,758,346,40775,16.6,24236,11049,Website,45-55,2018-02-04 17:03:00,E8FF97CC78F0F87FA3D13211AA59ED5AAC82E7067A5EAAB00948B8B080673F23,42416
28,0,0,0,0,1,0,1,0,151,45335,515,492,367,68536,27.3,17255,6205,Website,35-45,2018-02-14 10:34:00,7B0302AA7A206B02C6817060EC26B397DE7F3561711AD9522514CC70DF1463A3,36597
29,0,0,1,0,0,0,0,0,258,37251,664,693,419,34114,31.8,26488,7869,ThirdPartyListing,35-45,2018-02-13 22:59:00,2303E6CA09AFA6784967C30918ED365A145889020AD7625C1B375612297E21FD,47138
30,0,0,0,0,0,0,0,1,310,40415,709,768,329,37139,27.3,17838,8993,Website,45-55,2018-03-10 00:15:00,,44533
31,0,0,0,0,0,0,0,0,211,59186,627,606,339,57220,22.4,25805,2504,Website,18-35,2018-04-22 04:54:00,EEEF82651C7D4E5F4D44EC2262A7F7A02732D5BDD9D47C72A5E43988229FE4F2,40157
32,0,0,0,0,0,1,1,0,402,46329,637,646,385,52310,11.2,15074,8766,Website,18-35,2018-04-11 20:06:00,AB5BB4208DA5C0917EF3F86441D3BB6A1277440FA89C11BB0DA13375E37038ED,31241
33,0,1,1,0,0,0,0,0,214,53106,616,630,435,58488,27.4,24743,7484,Website,45-55,2018-02-01 21:34:00,FF33CF14BA39A1936A76D585B0CC6D38F957239D583463ABF2B047EBA3883D9A,51682
34,0,0,0,0,0,0,1,0,117,44124,560,678,363,44899,21.2,31632,5213,Website,35-45,2018-04-21 15:57:00,,32267
35,0,0,0,1,0,0,1,0,355,60884,616,684,469,42194,27.6,23560,9792,Website,45-55,2018-04-29 19:11:00,A95B68F8874FFC35D429D220F67AD8884F5E83B7AE6BAE9B1C1F115658664738,38718
36,0,0,1,0,1,1,0,0,304,63841,734,799,308,51336,34.4,24921,8018,Website,55-65,2018-04-18 02:44:00,3DC953F534EE15DF7C6213C09F8FF1452637C33321E57D096CFE8081AEBD47EB,33763
37,0,0,0,0,0,1,1,0,344,50615,756,678,312,53817,32.7,29959,9913,Website,18-35,2018-03-31 10:08:00,1AFE15F2E961B371F60CB43E2F9E41FDEA51F5D6BEB18F1B29AE96DCCF5C53E5,41690
38,0,0,0,0,0,0,0,0,286,60196,739,792,408,45393,21.2,24789,11373,Website,18-35,2018-03-23 05:07:00,,24813
39,0,0,0,0,0,0,0,0,262,53336,657,628,345,43256,25.4,24374,11795,Website,65+,2018-04-04 00:54:00,FBB41CD28A06F34FACEFA5BBD6B17B14DC1E665A3689F17CF29C2959B1A862E6,25869
40,0,0,0,0,0,0,1,0,205,60955,644,592,376,54035,19.8,18969,5593,Website,18-35,2018-03-20 22:45:00,,27967
41,0,0,0,0,0,0,0,0,272,45080,572,530,364,55000,27.5,23920,7592,ThirdPartyListing,35-45,2018-02-10 20:50:00,,42505
42,1,1,0,0,1,0,1,0,291,49767,734,748,337,55344,28.5,20206,12274,Website,65+,2018-03-30 15:10:00,AF1AC96BDB38E63D77A794B0343A7757CF94D8B326F311FFE1DAD21B2B77D2C2,46706
43,0,0,0,0,0,1,0,0,183,30616,661,697,311,42896,32.1,17263,8066,Website,18-35,2018-03-25 16:31:00,FF32534F3F4B3956237B01828F3C47AD47AD717BBA1362556AC2B5DCB49DE102,36732
44,0,0,0,0,0,0,0,0,237,58394,626,629,275,70371,27.4,22568,8934,Website,55-65,2018-01-25 18:54:00,9C59FE2C1957A40267058E3D517DF98265BE2A4A4A23A4D0ED980AD381C28D0A,29659
45,1,0,0,0,1,0,1,0,235,67232,671,765,405,82860,26.7,35063,9054,ThirdPartyListing,65+,2018-04-28 11:34:00,3B1A91FCB5AD700AF25912BAFC6DF3D34954983AC83FC251052A2B6E0E30C7DD,41434
46,1,0,0,0,0,0,0,0,349,42781,641,629,258,38183,26.1,24344,6613,Website,18-35,2018-01-26 08:21:00,,37349
47,0,0,1,0,0,0,0,0,272,50649,676,641,206,42413,27.6,27950,8140,Website,45-55,2018-04-09 17:03:00,EB858689414524D654A65606B374E445A2AE25EF842C4006711B14D0274323A9,30167
48,0,0,0,0,0,0,1,0,277,40365,610,568,262,48165,25.5,28028,8746,Website,35-45,2018-02-28 18:29:00,2E989B9996F5646C402BCA25C628253F856246D3ECD6849761F4801D0CA5A49F,45856
49,0,0,0,0,0,1,0,0,226,46583,678,667,330,50603,32.4,27593,5341,Website,18-35,2018-04-28 03:20:00,82B05D17A71676FF8FD31582D3D6E6787B28E719C9F805A0937817AB8B92D60B,41176
50,0,0,0,0,0,0,0,0,288,63720,664,708,319,78913,19.6,20756,7719,ThirdPartyListing,45-55,2018-03-16 11:03:00,E36FCF24FACB14E1A717928D358EF4522FF060F05FA4F7A6074EC3F8C9F256EC,27408
51,0,0,1,0,0,0,1,0,392,56767,620,628,233,58463,22,20070,6515,Website,55-65,2018-03-15 00:51:00,A966C9CFC952E07C9B394FDFAA9D78BAEB599593FCCCDA283B6A06C64F0913A8,34400
52,0,0,0,1,0,0,0,0,352,47549,559,633,338,54352,20.9,34562,6458,Website,45-55,2018-03-06 05:26:00,6BEAC8661F6E6F7CDA25E6CECEBE3CC9D35679274C9C9D346D96488E8C98A9E8,40676
53,0,0,0,0,0,0,1,0,296,53468,644,652,437,50319,28.2,20499,5428,ThirdPartyListing,18-35,2018-04-23 19:35:00,818C20861B5574209EB6B9F14DD06916420952D689C7D19862E4CBAA9A049C1A,28446
54,0,0,0,1,0,0,0,2,321,46261,627,649,347,79091,25.9,29925,6494,Website,45-55,2018-03-20 15:21:00,252F92ABAFA24499FBA27490001D10CA74C916A7FCEBE8A4DC42D99FAC3BF9EF,31387
55,0,0,0,0,0,0,1,0,326,56392,543,579,355,70912,31.1,29929,10320,Website,55-65,2018-03-16 03:32:00,0CB111AF556E19D98A28F236F4B853C0C244939A14ACE91DAD55CADB1171CD42,38763
56,1,0,0,0,0,0,1,0,231,56875,604,651,334,51044,22.7,25399,8525,ThirdPartyListing,45-55,2018-04-01 19:04:00,F93F9EFCAF77579331D1499E62DF3AF6908D44FA059A705486A8107A331016C1,45913
57,1,1,0,0,0,0,0,0,293,50989,578,586,439,59684,29.6,21181,8499,Website,55-65,2018-01-15 13:36:00,58ECBB1D986F007E73F95AD381793877209C2AB1B0205F09F20942DE29FA457B,33584
58,0,0,0,0,0,0,1,0,258,30582,696,752,312,28677,38.9,25669,5713,Website,45-55,2018-02-15 21:38:00,D8FD4C2CA7380C23F193ABF5CDA4EB59D34A4A6E13384EB9D56CA3D3D6A61AF4,32464
59,0,0,1,0,1,1,0,0,333,61976,577,616,430,24430,23.1,28274,13289,Website,45-55,2018-02-17 02:31:00,,30781
60,1,0,1,0,0,0,0,0,330,47349,642,675,452,22307,30.7,23094,8253,Website,18-35,2018-03-04 22:33:00,,36952
61,0,0,0,0,0,0,1,0,327,41946,780,822,374,57388,20.4,20395,11318,Website,18-35,2018-01-09 07:55:00,24FC8ADFBE81425E9A4831159422C42AD5C9111B211E2F549526E5F98B64A20D,34962
62,0,0,1,0,0,0,1,1,281,57131,642,622,410,52138,26.3,23577,8503,Website,65+,2018-01-11 07:54:00,773B9BFD76AB8F1BBFBD8499779928FF18C61AAE1ACF0B964D4547218B80C902,48705
63,0,0,0,0,0,0,0,0,497,58194,697,674,439,66543,33.6,29867,7012,Website,45-55,2018-02-09 08:34:00,9582975C2489756441727046ACF187ECFCF5BE8A7F464BCD6227A25B5AF2E25A,34431
64,0,0,1,0,0,0,1,0,353,57880,622,711,361,43124,20.8,20493,8204,Website,65+,2018-03-14 05:06:00,5F58014B64A842159B5F902061750E0A519BDA099BFE5898C22802A551685167,37183
65,0,0,0,0,0,1,0,0,362,52402,652,631,303,37215,36.4,25649,5606,Website,65+,2018-04-09 09:10:00,2FFFE61CA6AD0D2D154ABB6A499C5A445C192A8B1728B789ABB466676E5D7D0E,22722
66,1,0,1,0,0,0,0,0,340,52669,648,660,348,40231,18.5,24267,8482,ThirdPartyListing,35-45,2018-03-13 17:17:00,,19727
67,0,0,1,0,0,0,1,0,308,48651,515,590,318,63540,29,21387,12862,ThirdPartyListing,55-65,2018-01-18 19:09:00,86DF793D71E51608CEFC69DA3969F996DAA0A0639DDB926BC799BC22F1249EFC,44027
68,0,0,0,0,0,0,0,0,357,59765,755,833,243,82099,33.5,25766,10868,Website,18-35,2018-01-27 01:24:00,27DF38EDB1A5E167E6555126F4DAA4DA1D6BFE41DB31F169036F325C07817C67,37685
69,0,0,0,0,0,0,0,0,281,48761,624,617,262,62135,28.6,17978,5216,ThirdPartyListing,18-35,2018-03-27 10:15:00,617729E39A930BC8EF13ABAB5618FC9D56C953D4584EE1637EE71F04BD18E8AB,47126
70,0,0,0,0,0,0,0,0,316,55253,683,684,390,53568,23.7,24806,10714,Website,18-35,2018-03-26 18:19:00,01B744BF4F51EF7513FD78F20B854A6CC634A13F7A5AAFC902B6727AB27FCCE4,50605
71,0,0,1,0,0,0,1,1,304,59762,646,599,450,64705,22.1,30220,7319,Website,45-55,2018-02-18 08:27:00,57E594DCACEF114FEEEF36306C3B9C44BF55F35FDCB35D372CF28FB1F0C7D360,35051
72,0,0,0,0,0,0,0,0,210,34635,613,575,217,30897,23,22907,11595,Website,55-65,2018-03-19 10:35:00,1A454C997EE57CF6E26A8DE03778BF4B94C7E9942BE4DADB630ECC736641A7D4,39240
73,0,0,0,0,0,0,0,0,385,50249,646,621,271,28464,23.8,24415,5100,Website,55-65,2018-02-09 01:55:00,,36835
74,0,0,0,0,0,0,1,0,331,48078,623,614,300,64719,30.2,25587,9037,Website,35-45,2018-02-15 21:46:00,4FDFD0512DD47A81707EEEB30AD60BA405409AAA4603270FF9294ECE0E4951CB,36020
75,0,0,0,0,0,0,0,2,341,60285,646,725,349,71236,29.5,20567,11310,ThirdPartyListing,35-45,2018-02-12 18:13:00,20C303965724EE07ED3B4625209F1A8A8735D53A4596B55DF0DA4347D88E2EF5,45088
76,0,0,1,0,0,1,0,0,364,32198,664,681,315,53513,25.1,23643,11941,Website,45-55,2018-05-08 15:41:00,330C8ED5965A4555A65CB3C991DEF68B18532D6AC016E48E77EF427393C0C18B,52416
77,0,0,0,0,0,0,0,0,319,62222,692,712,275,54970,21.2,18761,12140,Website,65+,2018-02-28 15:47:00,9970D193C3940A628761EB509EF436C138118AED736A2F07D71B56F04DD77761,39655
78,1,0,0,0,0,1,0,1,375,62519,669,743,274,77719,17.2,30480,12496,Website,55-65,2018-02-21 09:01:00,88B71F97D3081EE143AFAA1AEBC6DB9BEB3B5CE423031C273FA908AAED6DACFD,44483
79,0,0,0,0,0,0,0,0,305,38961,597,604,248,36491,32.2,19809,7371,Website,55-65,2018-05-08 00:10:00,B534E403D6D0CB6A4EFFA73F24169AF012F40C114E9ED76D64A29913D98B9037,30838
80,0,0,0,0,0,0,1,0,375,47869,635,633,326,56123,27.2,22525,10064,Website,18-35,2018-01-30 08:11:00,8A6E7F6D94F1E4B916335D1B0A392AF7EA260B429E4E647DFEB4A11BD86113A7,39530
81,0,0,1,0,0,0,0,0,393,66572,639,701,302,46951,15.7,28982,8552,Website,45-55,2018-02-19 07:43:00,1577027F00E3A7FC7E0AAFA88024E7D5C0E552D3A88D6A35F4DFFB34B50B9736,35208
82,0,0,0,0,1,0,1,0,334,48867,681,665,379,48688,16,24534,8700,Website,45-55,2018-01-25 11:37:00,755B3B08D74540DB0CCC81FDE380C882C388BD6DFA14A1D6601DDAE29F1A5179,39301
83,0,0,0,0,1,0,1,0,333,30142,699,678,554,24176,32.2,26155,7832,Website,18-35,2018-05-10 09:55:00,C45F0E999744C295C92866ECD082C82A15C9F7C647CF96DD78B1F521B0D6A601,33575
84,0,0,0,0,0,0,1,0,207,48098,595,546,389,51952,26.5,18183,11609,ThirdPartyListing,45-55,2018-02-17 05:41:00,8A56A3CE527C0757A48143E9A8C66648335ECA7C425B63B38032886390C8D548,43226
85,0,0,0,0,0,0,0,0,245,31180,586,668,390,40079,13.3,25282,6733,Website,65+,2018-04-05 15:12:00,B4D3B89A73951268312073FBD69BAD2305160B7F943F91453D06B85CB44D4AE6,38971
86,0,0,0,0,0,0,1,1,260,50424,686,720,342,54764,30.7,30304,9370,Website,18-35,2018-01-19 02:57:00,15C9790D0D5831244A3F0E46838D848CCF3D5CC79BD188C649C0AFAF72065A55,48972
87,0,0,0,0,0,0,0,0,476,42932,705,753,340,54753,28.6,27580,12175,Website,18-35,2018-02-05 21:45:00,EFC9D6736F567FFBF4FE213A926249B937979E259DA915386F1DCB77AEB61725,34239
88,0,0,1,0,1,0,0,1,351,73010,622,677,356,73610,34,24292,11466,Website,45-55,2018-04-16 11:05:00,646A9E1C460ADBC3D8289BC93CABE10DAEB058D839D360958118754454E9ECA2,44925
89,0,0,0,0,0,0,1,0,459,51445,642,677,270,101354,29.4,16662,12153,Website,18-35,2018-04-25 00:52:00,04B8867D31F97E8DB743B0D86DDFC50A7E0AEB0302F88258D93C1B59DDD7553B,45054
90,0,0,0,0,0,0,0,0,227,75434,593,615,306,68763,30.8,28514,10208,Website,18-35,2018-03-20 07:20:00,2966000B6A05A5B347762A4B2AD81D0F3BABF1B8E447078A33155E9F525AA851,45002
91,0,1,0,0,0,0,0,0,308,48320,681,711,428,34853,24.4,25982,8386,Website,35-45,2018-04-20 09:12:00,922D54AC0AADDBF2BF20FB432540EFE980F1C735D1CCA446F8F4FEA95FF8665E,31165
92,1,0,1,0,0,0,1,0,285,47534,643,592,363,49668,28.8,34506,9953,Website,45-55,2018-05-05 07:23:00,BBC761ACD2AAC12EC26E6F30034927C9E56267EC8D330E6CA4658FD3D81C39DD,28338
93,0,0,0,0,1,0,0,0,218,39856,638,608,334,20972,24.9,17940,8924,ThirdPartyListing,65+,2018-03-16 22:37:00,D3BC31F8090C602FE887311792B7125EE564F7DBD258DB2C7CF088F904381908,33935
94,1,0,0,0,0,1,1,0,194,45225,655,679,255,48058,39.4,28037,5113,ThirdPartyFinancing,55-65,2018-03-30 10:06:00,,37976
95,0,0,1,0,0,1,0,0,202,52840,677,686,263,44921,38.1,22787,8944,ThirdPartyListing,35-45,2018-03-28 14:50:00,,33725
96,0,0,1,0,0,0,0,0,213,39539,624,661,291,44127,23.4,12616,6582,Website,55-65,2018-03-14 10:39:00,B8F31BE923B6DA97C8B49A1CB548BCACFAD3A42ADC173880F2E595A7C5E9D682,37695
97,0,0,0,1,0,0,0,0,342,50467,634,673,279,56881,26,24214,7159,Website,55-65,2018-03-14 12:37:00,6576DB6089BBEF37714D9FD6D411D0E9CE1ABEF1435257221DE00C118744D58D,39685
98,0,0,0,0,0,0,0,0,263,50346,665,706,420,55777,20.2,23514,9925,Website,55-65,2018-01-28 23:28:00,3CED315FF39D2A33CFD47A1C2711939D6121B367549A94AB36970BA77AC6AD13,49372
99,0,0,0,0,0,0,0,1,327,48973,656,685,321,45081,34.1,23725,10998,Website,35-45,2018-01-05 09:16:00,8EC393B2D6CC0DB2FCBBBF05129DDF3AAE90BBF9BA65C6743F58B503512D3854,36176
100,0,0,0,1,0,0,0,0,322,69178,697,698,314,66342,30.6,21244,8708,Website,45-55,2018-05-01 02:39:00,751C650EA092EF9A87B9D3D190053B05019C703FA7FAB6EBA9E451EDE94AAE23,38975
101,0,0,0,0,0,0,0,0,275,43011,609,617,449,16041,21.6,36258,11318,ThirdPartyListing,55-65,2018-01-03 21:35:00,A13888F6D67D404D491C6AABB18D520D1D85EE737A16929071F8B82D00723DFC,33795
102,0,0,0,0,0,0,0,0,230,31670,537,597,398,22672,22.6,25111,10504,ThirdPartyListing,45-55,2018-01-06 07:16:00,E7E2BB338ED66CB15434219AC51024620094E033B41661D0C49FDABE31B941EB,32369
103,0,0,0,0,0,0,0,0,394,64576,643,676,290,69837,31.7,29703,7865,Website,45-55,2018-03-04 14:53:00,00CE4530793EA88A7476F8FB89A73E9AEBEE3B19340FB74D2996ECDCE3414961,21144
104,0,0,0,0,0,1,1,0,149,47154,627,686,361,28407,16,28408,8262,ThirdPartyListing,35-45,2018-03-16 17:08:00,4D2E11CEFF6095785D5C708299EEE8FE371621D9B4856D7869B4666012BB66F3,28813
105,0,0,0,0,0,1,1,0,381,44020,690,665,276,51909,22,15358,6271,ThirdPartyListing,45-55,2018-05-09 22:38:00,153810603AA9829B7A2B922753C51EFA1898FC1BA360895C9C16B21D6FF4D18F,35191
106,0,0,0,0,1,1,0,0,323,55892,620,706,265,78757,22.2,30409,9251,Website,18-35,2018-03-26 11:00:00,81DC9537EE2197D451FCE15FD8F50AFF45A799769B3A694D375580FB98814631,40477
107,1,0,0,0,0,0,0,0,441,58121,642,617,379,42605,30.7,28412,5840,Website,18-35,2018-02-28 15:09:00,331ADA7E5FB0CD58AD8D7A9E77DB6CBA5902EC9FA1870CE00AD8334FB36B7AF2,48454
108,0,1,0,0,0,0,0,0,447,47748,644,572,313,9372,26.3,27274,6271,Website,35-45,2018-01-06 07:27:00,664591E3FA78814C1558C5BFF019FB90160CD493A96B94805211D8D4A7F791EA,39892
109,0,1,0,0,0,0,0,0,306,65548,693,652,321,45525,33.6,24246,7788,Website,45-55,2018-03-12 08:09:00,B08B38F3DC1C4253E7B1F1498EB612F70FD744B295D37FA51112380A041BF854,41720
110,0,0,0,0,0,0,0,0,220,54995,592,588,277,54645,25.3,24863,9183,ThirdPartyListing,65+,2018-03-22 23:47:00,E63227C2254C11A85C49D73945A4DDE04EDEC480E37A3CB84859E2CF09926DEC,43025
111,0,0,0,0,0,1,0,0,318,64959,644,607,448,62846,21.7,20233,5575,ThirdPartyListing,18-35,2018-03-06 14:07:00,ABAB1D333EF1DAC7EC65F5BAAD1CE01E7EF9071B5E7E46B5C709001731CCA451,32383
112,0,0,0,0,0,0,0,0,389,42778,726,762,307,30546,27.1,27468,9099,Website,18-35,2018-04-10 10:56:00,,41165
113,0,0,0,0,1,0,1,0,360,44760,686,739,308,39894,35.5,30199,10124,ThirdPartyListing,45-55,2018-04-01 12:03:00,64568F8A0E085B47E979D0BB5526AE64CDCE1C979C2359ECDECE800F2531A333,36579
114,0,0,0,0,0,1,1,0,280,43806,660,674,306,41366,37,31980,10174,Website,35-45,2018-04-28 10:05:00,,40007
115,0,0,0,0,0,0,0,0,252,60743,617,588,281,67163,19.9,36215,7328,ThirdPartyListing,18-35,2018-01-21 05:00:00,B0698F8DD1D7A6942F69BD487195668E27270E019484F76DB632DB257B2E60E9,46631
116,0,0,0,0,1,0,1,1,347,48009,650,662,312,40875,28.7,23067,12615,Website,55-65,2018-02-28 16:47:00,70719F2BA9AA1BEFF228B01A139EBB3BD73CD211871374FACCDFCC0319C60E21,38692
117,0,0,0,0,0,0,1,1,390,47906,653,656,369,30927,26.5,20050,12319,ThirdPartyListing,18-35,2018-03-15 05:22:00,,32268
118,1,0,0,0,0,1,1,1,388,41027,648,601,314,32287,33.1,23081,8916,Website,35-45,2018-02-14 08:40:00,DF2DF83F3C80CB67BDDBE8755064270B337139BF2C9A83BF7400DA913CD2BA1D,38880
119,0,0,0,0,0,0,1,0,373,42637,642,653,297,37538,20.1,19690,6271,Website,18-35,2018-04-11 00:14:00,C3622BBA13AD2445969D091A4E8C41D0476BE0FF931FE6A338733B9706FF778E,27150
120,0,0,0,0,0,0,1,1,344,60974,645,596,339,76229,21.8,27783,5801,Website,45-55,2018-05-10 17:23:00,2201143A27A634B16680733E6009CDFFBE878B446F299C363FA51F639367D39C,45706
121,0,0,0,0,0,0,0,0,402,37813,601,573,351,40258,36.2,24516,8915,Website,55-65,2018-02-07 06:56:00,880D9FAC1BB5EEDB318F2F0DC426D8598B01662A6A27D6629B07946C350B78F7,43025
122,1,0,0,1,0,0,1,0,213,54318,603,654,368,54641,26.4,25310,5705,Website,65+,2018-02-04 21:00:00,0F3C682369CE4F70771375CD0BA943B8C57393E2AE52F2A32188C1C603ECF747,36970
123,0,0,0,0,0,1,0,0,306,47169,657,690,363,30132,26.6,29923,7255,Website,35-45,2018-05-05 23:03:00,6F46E3AD16920D4CF0B739516375852E3CA623E5450553859319CA80F81A7D3F,43690
124,0,0,0,0,0,0,0,0,143,22901,676,641,434,20087,29.4,27763,9416,Website,45-55,2018-01-15 05:44:00,FBFDCB9B1C1A7E756A7E0FF2769653D972F4D6EC3C31019D45F7A98640903ECA,55494
125,1,0,0,0,0,0,0,0,151,58110,627,709,144,54970,24.9,28367,6076,ThirdPartyListing,35-45,2018-02-17 01:03:00,4B4A78FE444253A3AD771E000ABE879760FD69079531F2369824A3C4A3D82AEB,34401
126,1,0,0,0,1,0,0,0,320,52403,720,749,316,47836,25.5,25455,9410,Website,35-45,2018-03-12 15:06:00,B45A648DF8E1B879BCD0E970DF089AF331350054C04C68C80EC196094750BF17,48309
127,0,0,1,0,1,0,0,0,304,56924,678,616,262,66316,37.7,24824,8385,Website,18-35,2018-02-28 03:55:00,,30959
128,0,0,1,0,0,0,0,0,259,44923,556,539,405,41298,23.4,29809,11198,ThirdPartyListing,35-45,2018-05-10 09:06:00,DB53F56E3D2E8110B7CEAFB88C4D1692032B80AC2126A9C0C7954302ACA2F335,43412
129,0,0,0,0,0,0,1,0,219,64897,635,736,403,53838,16.6,24978,7081,Website,45-55,2018-02-25 01:52:00,4F67FED56AC1BE9B8768F8AA4F701D0C2A6B73706A766D3AA7CD593B07791E2F,43377
130,0,0,0,0,0,0,1,1,317,43036,642,667,350,26052,13.6,26550,10300,Website,65+,2018-05-07 20:03:00,E086CF12E7511776F5770C65FE36CB60269C803ABC5FF31492AD7352AC37E3EC,40733
131,0,0,0,0,0,0,0,0,174,41938,685,736,279,59264,26.2,32559,8962,ThirdPartyListing,35-45,2018-03-13 17:40:00,,29748
