userid,saledatetime,StickerPrice,Odometer
1935,2018-02-17 19:36:00,17882,13364
1936,2018-05-23 22:43:00,16734,13020
1940,2018-06-10 00:18:00,34880,18464
1941,2018-03-23 17:27:00,30750,21225
1942,2018-02-12 22:35:00,25571,19671
1945,2018-04-02 01:50:00,16214,16864
1949,2018-04-02 15:18:00,18016,21405
1950,2018-05-23 16:12:00,33952,20185
1951,2018-05-10 11:01:00,17531,13259
1954,2018-04-02 01:51:00,28653,16596
1955,2018-03-31 09:31:00,21789,16537
1956,2018-01-28 07:05:00,22026,12608
1958,2018-06-12 12:35:00,36646,24994
1961,2018-01-13 22:31:00,23695,15109
1965,2018-02-05 07:03:00,15870,12761
1966,2018-06-05 00:45:00,26301,21890
1968,2018-04-30 02:08:00,25376,17613
1974,2018-04-01 01:36:00,17197,11159
1975,2018-05-19 02:43:00,21357,12407
1976,2018-05-23 20:29:00,33089,21927
1978,2018-03-06 17:58:00,14004,20201
1987,2018-04-15 04:35:00,27083,26125
1989,2018-03-13 16:10:00,30741,19222
1993,2018-06-03 08:03:00,16906,15072
1994,2018-03-11 02:19:00,32355,23706
1995,2018-04-11 15:12:00,25482,13645
2000,2018-04-03 04:44:00,24067,15220
2005,2018-04-20 15:18:00,15096,16529
2006,2018-03-04 13:38:00,25469,13641
2007,2018-05-10 09:13:00,33732,28120
2009,2018-04-28 06:25:00,19945,17984
2011,2018-03-03 18:01:00,20075,12023
2013,2018-04-17 18:33:00,12892,9868
2014,2018-04-08 13:09:00,24380,15314
2018,2018-03-29 07:54:00,35344,20603
2019,2018-02-21 06:21:00,26578,15973
2020,2018-02-18 13:50:00,13116,21935
2022,2018-01-31 11:44:00,14819,12446
2023,2018-02-25 03:41:00,12990,13897
2025,2018-03-09 22:46:00,32230,17669
2026,2018-03-13 14:27:00,20612,12184
2028,2018-01-16 23:49:00,36831,19049
2030,2018-02-12 14:43:00,12795,9839
2031,2018-06-14 19:34:00,22467,20740
2032,2018-01-31 09:21:00,24250,21275
2041,2018-02-26 11:36:00,22505,20752
2043,2018-05-01 10:50:00,12931,13879
2046,2018-04-12 01:34:00,31742,17523
2047,2018-05-31 07:14:00,24977,11493
2050,2018-02-26 03:20:00,23349,25005
2055,2018-05-07 06:54:00,13316,11995
2057,2018-03-21 00:26:00,14732,16419
2059,2018-01-20 23:07:00,34534,20360
2060,2018-03-17 22:10:00,34787,24436
2064,2018-04-15 12:09:00,22072,20621
2067,2018-05-05 15:29:00,13405,14021
2070,2018-02-18 05:26:00,23236,12971
2072,2018-03-28 20:33:00,30345,27103
2073,2018-03-18 17:25:00,25837,19751
2074,2018-06-12 13:43:00,16219,20866
2075,2018-04-04 19:51:00,17383,25215
2076,2018-03-26 06:26:00,35367,16610
2077,2018-04-07 10:35:00,25674,13702
2082,2018-05-02 04:46:00,28124,20437
2083,2018-06-18 19:54:00,22292,14688
3335,2018-04-23 09:09:00,34355,18306
3336,2018-02-21 19:33:00,30677,25203
3339,2018-05-15 10:58:00,17070,13121
3340,2018-01-21 19:38:00,16197,10859
3343,2018-05-15 09:31:00,31137,17341
3344,2018-04-04 19:45:00,23330,12999
3345,2018-01-31 13:39:00,22784,10835
3346,2018-02-16 21:55:00,32226,19668
3347,2018-04-12 19:12:00,18043,11413
3349,2018-01-26 15:47:00,17300,17190
3354,2018-03-07 02:09:00,20312,20094
3355,2018-04-09 06:44:00,16002,14801
3356,2018-05-21 07:24:00,28137,16441
3359,2018-06-02 13:11:00,36479,16944
3362,2018-03-14 10:01:00,36297,14889
3363,2018-05-09 05:42:00,17033,21110
3364,2018-03-21 23:16:00,27256,18177
3366,2018-03-03 16:32:00,30941,17282
3367,2018-05-30 10:53:00,31104,13331
3368,2018-02-28 08:36:00,14424,20327
3371,2018-04-25 17:03:00,22238,24671
3376,2018-04-21 10:49:00,20675,10203
3381,2018-04-23 16:21:00,14350,20305
3385,2018-04-19 03:32:00,31753,21526
3386,2018-02-09 02:53:00,28343,24503
3387,2018-03-13 03:54:00,25923,15777
3388,2018-05-25 03:15:00,35884,20765
3389,2018-06-09 20:32:00,32399,17720
3390,2018-02-03 21:18:00,33917,22175
3393,2018-04-19 20:35:00,16563,10969
3395,2018-05-16 03:17:00,23337,9001
3396,2018-05-25 17:35:00,27687,18306
3397,2018-04-28 03:02:00,15815,22744
3400,2018-03-17 02:50:00,19831,21949
3402,2018-06-15 20:41:00,32364,19709
3404,2018-03-20 14:41:00,26966,14090
3405,2018-04-15 22:34:00,25644,27693
3408,2018-05-23 23:42:00,12749,13825
3409,2018-02-10 16:55:00,26980,24094
3410,2018-03-01 08:20:00,25159,17548
3416,2018-06-21 08:23:00,34516,16355
3417,2018-05-05 13:57:00,36302,20890
3421,2018-05-18 05:35:00,32446,23734
3422,2018-02-20 04:18:00,12118,17635
3424,2018-05-28 10:20:00,35107,24532
3425,2018-03-08 03:18:00,27679,22304
3430,2018-04-29 08:14:00,27898,18369
3433,2018-03-23 22:08:00,35025,16508
3434,2018-04-10 07:44:00,15552,16666
3435,2018-04-22 22:13:00,15005,16501
3436,2018-05-03 20:44:00,18584,13575
3437,2018-03-27 22:37:00,22976,12893
3438,2018-03-11 10:03:00,32506,15752
3439,2018-05-05 17:51:00,26302,27891
3441,2018-05-25 02:00:00,18670,17601
3443,2018-05-29 04:15:00,21376,18413
3444,2018-04-20 02:24:00,13489,8047
3445,2018-02-25 21:54:00,14594,18378
3450,2018-03-11 20:28:00,20272,16082
3451,2018-06-15 15:23:00,14917,26475
3452,2018-06-10 20:27:00,28942,12683
3453,2018-06-14 18:41:00,21192,18357
3454,2018-03-27 12:12:00,14844,22453
3456,2018-01-14 18:23:00,22237,18671
3457,2018-04-13 15:02:00,24012,19204
3459,2018-03-28 09:47:00,18667,11600
3461,2018-04-22 12:35:00,36929,17079
3463,2018-05-16 21:45:00,13184,21955
3464,2018-04-13 20:00:00,27152,18145
3465,2018-05-16 23:18:00,14227,12268
3468,2018-04-09 16:26:00,17695,13308
3469,2018-02-15 08:39:00,22505,14752
3471,2018-04-14 05:22:00,20136,22041
3472,2018-02-23 03:11:00,17961,13388
3473,2018-06-17 22:24:00,26712,10014
3476,2018-03-25 07:43:00,34840,16452
3478,2018-03-25 11:04:00,29424,20827
3483,2018-03-18 23:17:00,12127,5638
3485,2018-03-10 00:33:00,34359,18308
3492,2018-05-15 05:51:00,16181,14854
3493,2018-03-04 09:09:00,36347,18904
3495,2018-06-15 02:38:00,33230,17969
3499,2018-05-08 04:00:00,21760,26528
3501,2018-05-10 02:22:00,19151,11745
3503,2018-06-10 20:35:00,31371,19411
3506,2018-06-01 13:29:00,34924,18477
3507,2018-05-19 02:16:00,31925,11578
3509,2018-04-27 02:23:00,15433,12630
3514,2018-05-30 05:03:00,19428,15829
3515,2018-04-29 11:13:00,13341,10002
3516,2018-03-11 21:21:00,29461,22838
3519,2018-03-23 15:03:00,30213,21064
3522,2018-06-08 11:17:00,34456,16337
3525,2018-06-16 04:21:00,27098,26129
3526,2018-02-23 04:31:00,15417,14625
3530,2018-04-13 17:15:00,28277,12483
3532,2018-04-29 19:26:00,18065,15420
3535,2018-05-11 05:05:00,34167,14250
3536,2018-05-11 06:08:00,35578,22673
3539,2018-04-27 05:10:00,22392,12718
3542,2018-03-09 06:28:00,30930,17279
3543,2018-05-02 18:07:00,19743,11923
3544,2018-02-20 07:14:00,24129,15239
3545,2018-05-20 20:20:00,36360,30908
3547,2018-05-01 05:01:00,13032,13910
3548,2018-06-10 18:20:00,31034,17310
3553,2018-03-27 03:58:00,17338,11201
3557,2018-06-24 19:34:00,13542,8062
3563,2018-05-31 21:16:00,27884,16365
3565,2018-02-28 18:18:00,18303,15491
3566,2018-03-14 22:19:00,36147,24844
3568,2018-04-18 22:20:00,18683,9605
3569,2018-02-21 04:40:00,26328,23898
3572,2018-05-05 16:31:00,14382,12315
3573,2018-03-04 04:53:00,15026,14508
3575,2018-05-04 08:49:00,32542,27763
3576,2018-05-16 11:28:00,20006,20002
3577,2018-04-01 12:45:00,26952,16085
3582,2018-03-26 07:19:00,20511,16153
3586,2018-01-24 01:32:00,19297,13789
3588,2018-04-10 09:29:00,26794,16038
3589,2018-04-17 22:29:00,21279,16384
3590,2018-03-18 22:40:00,21206,16362
3592,2018-04-10 21:42:00,30046,21014
3594,2018-03-22 03:39:00,17160,17148
3597,2018-04-18 08:02:00,31506,33452
3598,2018-05-21 13:16:00,26135,21840
3600,2018-06-16 05:00:00,29515,14854
3601,2018-05-03 19:45:00,32994,15898
3603,2018-04-20 21:09:00,27544,12263
3606,2018-06-26 14:44:00,22623,12787
3607,2018-03-09 09:39:00,28533,12560
3608,2018-03-30 04:40:00,14663,14399
3610,2018-05-18 02:53:00,16352,24906
3613,2018-04-09 21:27:00,24725,17418
3616,2018-01-10 08:14:00,21139,12342
3619,2018-03-17 11:25:00,35175,22553
3623,2018-04-16 04:45:00,22755,20826
3631,2018-03-25 18:36:00,30573,15172
3632,2018-04-24 19:37:00,27382,12215
3634,2018-02-10 17:26:00,33357,20007
3636,2018-05-19 20:03:00,30049,13015
3637,2018-01-28 07:52:00,19597,15879
3639,2018-02-01 11:28:00,36442,24932
3640,2018-03-04 08:45:00,33435,20030
3642,2018-05-21 17:28:00,15064,10519
3643,2018-03-14 17:45:00,28318,18495
3646,2018-03-30 08:24:00,28695,16609
3647,2018-04-20 19:47:00,22868,16860
3650,2018-06-12 03:03:00,22791,14837
3651,2018-03-22 03:28:00,31915,17575
3652,2018-05-03 13:20:00,23550,25065
3654,2018-05-20 20:26:00,31651,17495
3656,2018-03-31 21:43:00,25059,17518
3658,2018-03-08 15:26:00,16495,8949
3659,2018-02-14 00:26:00,36422,16927
3660,2018-04-30 22:34:00,30334,23100
3662,2018-06-06 09:39:00,26848,18055
3664,2018-03-01 15:38:00,25347,23604
3665,2018-04-25 09:02:00,19548,15865
3666,2018-02-18 12:06:00,23833,23150
3667,2018-05-11 09:07:00,27099,16130
3668,2018-05-03 19:56:00,30247,17074
3669,2018-05-14 13:49:00,13402,14021
3670,2018-02-05 16:19:00,31538,19461
3671,2018-02-19 18:55:00,35483,20645
3672,2018-02-24 15:09:00,26876,20063
3673,2018-05-06 08:22:00,25222,29567
3674,2018-05-17 03:09:00,17865,17360
3679,2018-05-07 05:47:00,27708,26312
3681,2018-02-18 21:43:00,22021,14606
3682,2018-04-28 16:32:00,20487,18146
3683,2018-02-21 23:13:00,34750,18425
3686,2018-03-13 12:32:00,15110,12533
3688,2018-04-10 21:18:00,25786,21736
3689,2018-05-20 18:58:00,32507,23752
3693,2018-02-24 04:38:00,14723,14417
3694,2018-05-18 04:46:00,20328,12098
3696,2018-03-24 15:54:00,15787,12736
3697,2018-05-09 20:08:00,29840,20952
3698,2018-04-08 16:27:00,30248,25074
3699,2018-01-14 15:37:00,34586,12376
3700,2018-05-23 02:39:00,20624,10187
3701,2018-03-31 16:27:00,32776,19833
3702,2018-04-21 03:13:00,30067,19020
3705,2018-05-14 09:13:00,33744,20123
3706,2018-04-10 17:13:00,22154,18646
3708,2018-05-22 22:44:00,26875,16063
3710,2018-04-06 07:20:00,30871,19261
3711,2018-06-27 21:37:00,29099,24730
3712,2018-05-09 20:02:00,36162,20849
3713,2018-06-06 00:03:00,27431,22229
3716,2018-03-20 05:45:00,23801,15140
3717,2018-05-08 23:47:00,35125,16538
3718,2018-06-14 01:43:00,29503,18851
3723,2018-01-28 21:10:00,15625,8687
3730,2018-03-27 14:35:00,24570,13371
3731,2018-04-26 18:28:00,34157,14247
3734,2018-05-09 14:34:00,35159,22548
3737,2018-05-04 23:49:00,16724,21017
3742,2018-03-22 01:55:00,26723,24017
3747,2018-03-19 07:33:00,18206,13462
3748,2018-05-08 00:52:00,15881,14764
3749,2018-05-06 19:09:00,35805,22742
4170,2018-05-17 23:21:00,32320,11696
4174,2018-02-02 06:18:00,21587,10476
4175,2018-05-18 07:11:00,22517,8755
4177,2018-04-12 11:33:00,24324,17297
4178,2018-02-12 06:11:00,19792,27938
4179,2018-03-11 08:09:00,19880,15964
4182,2018-04-28 03:58:00,28191,14457
4183,2018-02-09 18:36:00,23878,15163
4188,2018-05-30 00:59:00,23089,28927
4194,2018-03-03 05:36:00,26577,17973
4195,2018-02-20 08:43:00,24171,19251
4196,2018-04-23 13:53:00,36014,18804
4198,2018-04-07 21:40:00,34932,22480
4199,2018-05-03 07:15:00,19537,13861
4201,2018-03-31 23:04:00,31387,17416
4204,2018-04-30 07:32:00,16644,14993
4206,2018-03-25 00:30:00,29918,14975
4208,2018-03-18 21:42:00,17823,9347
4210,2018-04-03 16:03:00,28676,18603
4214,2018-05-18 01:23:00,31217,15365
4217,2018-04-04 18:10:00,33653,16096
4219,2018-02-12 09:30:00,25479,25644
4222,2018-03-24 18:16:00,34930,24479
4224,2018-05-14 09:58:00,29115,16735
4226,2018-03-31 11:12:00,27101,20130
4229,2018-01-24 17:46:00,19445,11834
4238,2018-03-24 05:18:00,34552,30365
4239,2018-04-04 13:37:00,12931,11879
4241,2018-04-30 16:21:00,29055,18717
4242,2018-05-27 10:05:00,30925,13277
4243,2018-03-08 13:03:00,25553,23666
4244,2018-02-10 10:35:00,24767,19430
4247,2018-03-18 02:19:00,17515,17254
4253,2018-06-11 08:40:00,16574,6972
4255,2018-05-28 14:48:00,32563,19769
4261,2018-02-12 14:20:00,18023,13407
4262,2018-03-19 03:09:00,25229,23569
4264,2018-05-09 23:43:00,13111,11933
4265,2018-02-15 04:03:00,33804,12141
4271,2018-03-14 07:40:00,29860,16958
4275,2018-05-11 10:54:00,20111,10033
4276,2018-04-26 14:39:00,16360,16908
4277,2018-02-18 13:55:00,34230,16269
4281,2018-04-19 09:03:00,29918,14976
4283,2018-06-03 16:39:00,29292,20787
4284,2018-05-31 02:27:00,34596,12379
4286,2018-03-08 13:45:00,22440,20732
4288,2018-01-26 03:01:00,15980,16794
4294,2018-03-01 18:18:00,12952,9886
4299,2018-06-09 06:09:00,33580,10074
4300,2018-01-29 09:11:00,35955,28787
4303,2018-04-27 15:26:00,16913,15074
4305,2018-03-21 14:11:00,13825,10147
4306,2018-04-01 15:56:00,13454,18036
4308,2018-02-27 01:31:00,22467,18740
4309,2018-04-25 21:12:00,14818,16445
4310,2018-03-28 15:47:00,16368,16910
4312,2018-03-26 22:05:00,30028,25009
4319,2018-04-30 20:08:00,34102,18231
4321,2018-03-31 14:02:00,12194,5658
4323,2018-06-12 14:49:00,14143,14243
4324,2018-02-08 18:04:00,24679,21404
4326,2018-03-04 15:49:00,35856,18757
4328,2018-02-23 20:52:00,25607,13682
4329,2018-06-05 02:33:00,25233,19570
4333,2018-01-31 10:57:00,30210,21063
4334,2018-04-27 09:15:00,35926,22778
4335,2018-02-09 03:58:00,20456,14137
4338,2018-02-21 03:35:00,25736,19721
4339,2018-05-02 15:04:00,19424,15827
4343,2018-05-11 04:19:00,23936,11181
4344,2018-03-06 03:18:00,24946,33484
4345,2018-05-31 19:15:00,12133,19640
4347,2018-02-17 14:04:00,12626,17788
4348,2018-02-25 22:18:00,31586,19476
4349,2018-01-21 19:35:00,33562,18069
4350,2018-03-27 21:01:00,27439,24232
4351,2018-05-01 19:28:00,15376,16613
4353,2018-02-23 14:39:00,20471,16141
4355,2018-03-03 03:09:00,26066,15820
4356,2018-05-22 02:16:00,31679,13504
4358,2018-03-05 14:10:00,35622,22686
4360,2018-04-02 01:14:00,18745,15623
4362,2018-02-16 21:53:00,31039,17312
4365,2018-02-15 04:35:00,35362,22609
4367,2018-03-31 05:24:00,27345,24204
4373,2018-05-30 03:53:00,30646,21194
4374,2018-05-19 22:36:00,14039,14212
4375,2018-06-16 04:20:00,21728,16518
6675,2018-04-22 11:54:00,19083,15725
6677,2018-06-04 19:54:00,29588,24876
6678,2018-04-04 21:39:00,14723,12417
6680,2018-02-09 17:51:00,14643,12393
6681,2018-03-17 02:18:00,17509,17253
6682,2018-03-11 07:27:00,17301,17190
6684,2018-05-09 06:02:00,28554,16566
6685,2018-02-15 11:08:00,20908,22272
6686,2018-06-15 11:14:00,31185,15356
6687,2018-02-22 04:49:00,14856,12457
6690,2018-02-23 22:32:00,36943,29083
6692,2018-04-24 14:02:00,22539,16762
6694,2018-05-30 11:52:00,17847,13354
6696,2018-06-02 08:00:00,31333,17400
6700,2018-03-08 05:30:00,16224,20867
6702,2018-02-17 05:12:00,15834,18750
6705,2018-04-22 12:18:00,30240,13072
6706,2018-02-11 16:54:00,18779,19634
6707,2018-03-13 22:10:00,25168,9550
6709,2018-03-28 10:28:00,35435,22630
6710,2018-04-08 10:11:00,20460,22138
6711,2018-03-15 15:47:00,26258,17877
6713,2018-03-30 06:28:00,28542,10562
6715,2018-03-09 01:06:00,15396,16619
6716,2018-05-30 09:05:00,16063,10819
6720,2018-03-04 23:38:00,31969,27591
6721,2018-04-13 22:22:00,16883,9065
6724,2018-03-14 07:30:00,20942,14283
6728,2018-04-16 11:26:00,14054,10216
6730,2018-02-19 03:26:00,29591,26877
6734,2018-02-18 05:06:00,18563,11569
6735,2018-04-20 17:10:00,13738,22121
6737,2018-04-15 09:26:00,16675,15002
6741,2018-03-25 07:56:00,16487,14946
6742,2018-06-06 19:09:00,35235,22570
6743,2018-03-20 20:56:00,31665,25499
6745,2018-03-09 23:17:00,24034,15210
6758,2018-02-12 06:03:00,22080,18624
6759,2018-05-03 19:12:00,15838,12752
6765,2018-05-30 07:09:00,23915,21174
6772,2018-01-28 06:16:00,25960,17788
6773,2018-01-21 21:15:00,29587,16876
6774,2018-02-17 10:14:00,27115,18135
6775,2018-05-06 14:12:00,23468,23041
6778,2018-02-23 07:13:00,30394,17118
6781,2018-05-29 17:01:00,15091,8527
6782,2018-04-30 15:45:00,28877,24663
6785,2018-05-15 15:00:00,27202,16161
6786,2018-05-15 09:34:00,35656,14697
6787,2018-03-02 00:36:00,34093,26228
6790,2018-04-30 21:58:00,22072,16622
6796,2018-02-01 12:09:00,20663,16199
6799,2018-05-10 14:41:00,21147,12344
6803,2018-06-22 14:11:00,27056,20117
6807,2018-05-25 01:43:00,15364,8609
6808,2018-02-25 04:10:00,24167,15250
6809,2018-03-06 11:52:00,29092,18728
6814,2018-04-07 12:11:00,15695,12708
6815,2018-02-15 13:46:00,26387,15916
6818,2018-03-02 07:18:00,24746,17424
6819,2018-06-19 11:18:00,14266,24280
6821,2018-03-25 19:49:00,28158,16447
6822,2018-02-27 20:05:00,27662,16298
6824,2018-04-20 21:35:00,21880,12564
6829,2018-02-14 04:29:00,21606,14482
6832,2018-02-16 09:05:00,29195,20759
6833,2018-06-17 07:03:00,16915,13074
6836,2018-04-05 11:13:00,36225,16867
6837,2018-04-08 20:09:00,22798,12839
6838,2018-06-16 20:02:00,27233,32170
6839,2018-05-20 22:38:00,19403,9821
6840,2018-04-04 16:24:00,24499,17350
6842,2018-03-10 09:24:00,12191,13657
6845,2018-05-08 22:48:00,27210,14163
6846,2018-04-02 20:29:00,19066,19720
6847,2018-05-08 12:02:00,15042,10513
6851,2018-03-25 14:42:00,33728,20119
6854,2018-04-03 18:37:00,27042,18112
6856,2018-04-26 12:25:00,12981,9894
6857,2018-03-04 05:26:00,29451,22835
6859,2018-04-29 00:47:00,13145,13943
6862,2018-02-28 14:01:00,14342,20303
6868,2018-05-10 17:20:00,26707,20012
6869,2018-03-11 00:48:00,13929,10179
6870,2018-05-13 03:34:00,23593,15078
6873,2018-04-09 20:27:00,36046,16814
6874,2018-03-10 03:10:00,30177,19053
6875,2018-03-05 12:36:00,25657,15697
6876,2018-05-20 05:01:00,34475,16342
6877,2018-03-25 07:19:00,32806,23842
6879,2018-03-12 01:24:00,19159,17748
6880,2018-03-29 16:28:00,21252,14376
8133,2018-03-12 03:10:00,27945,20383
8136,2018-04-23 13:44:00,23263,20979
8138,2018-04-24 19:40:00,30835,21251
8145,2018-02-23 08:31:00,31617,17485
8146,2018-03-03 16:29:00,24148,15244
8150,2018-02-05 00:15:00,20655,12196
8155,2018-04-25 02:13:00,23141,6942
8159,2018-05-04 09:12:00,31562,19469
8161,2018-05-20 02:21:00,30262,15079
8166,2018-02-15 08:57:00,18049,15415
8167,2018-05-13 14:06:00,36070,22821
8170,2018-03-06 20:32:00,16806,17042
8171,2018-03-16 20:54:00,30166,17050
8174,2018-02-27 21:43:00,22684,10805
8175,2018-03-24 08:08:00,15572,12672
8176,2018-05-11 05:42:00,19412,13823
8179,2018-02-10 13:55:00,22366,20710
8180,2018-05-31 17:15:00,33058,15917
8181,2018-04-16 19:10:00,25106,23532
8182,2018-04-21 21:03:00,28078,14423
8186,2018-06-12 19:13:00,24669,15401
8187,2018-06-09 07:47:00,27394,10218
8189,2018-03-14 19:49:00,15130,16539
8190,2018-02-23 11:24:00,30393,15118
8192,2018-05-29 01:47:00,27045,18113
8194,2018-04-25 02:25:00,27891,14367
8196,2018-04-16 20:28:00,24029,19209
8197,2018-04-21 00:09:00,31908,19572
8198,2018-03-10 05:28:00,18193,17458
8200,2018-02-12 15:54:00,21776,16533
8202,2018-04-30 12:49:00,17938,21381
8206,2018-04-15 13:22:00,36092,16828
8207,2018-06-13 02:37:00,32869,19861
8210,2018-02-22 15:36:00,21558,20468
8216,2018-05-12 02:33:00,17779,13334
8217,2018-03-20 06:21:00,34534,22360
8219,2018-05-14 12:42:00,27671,14301
8220,2018-04-29 07:45:00,29294,12788
8221,2018-04-21 03:45:00,26335,13900
8223,2018-04-19 18:26:00,26761,22028
8227,2018-02-28 05:26:00,32448,15734
8230,2018-05-15 18:46:00,18969,11691
8231,2018-05-12 21:49:00,19920,9976
8232,2018-02-01 16:17:00,35249,22575
8234,2018-05-21 19:42:00,21414,10424
8236,2018-04-22 23:14:00,23426,11028
8237,2018-05-29 09:09:00,36295,26888
8239,2018-05-09 01:16:00,18170,15451
8241,2018-05-14 19:54:00,36553,16966
8242,2018-01-29 05:31:00,23474,17042
8247,2018-05-13 13:11:00,27732,22320
8248,2018-05-28 16:32:00,29474,10842
8251,2018-02-03 16:21:00,24146,13244
8253,2018-04-17 21:52:00,31119,21336
8254,2018-04-19 20:01:00,12550,17765
8259,2018-04-16 21:39:00,14933,10480
8261,2018-01-24 15:11:00,21509,12453
8262,2018-03-01 09:16:00,16958,11087
8264,2018-05-07 21:36:00,33758,28127
8271,2018-04-06 18:40:00,28192,18458
8273,2018-05-22 17:12:00,30174,15052
8275,2018-04-24 18:41:00,13323,11997
8276,2018-05-01 03:04:00,36150,22845
8278,2018-04-29 00:06:00,15479,22644
8279,2018-06-01 16:27:00,27732,24320
